actions,discount_factor,mc_rewards,next_obs,obs,rewards,terminal_discounts,terminal_obs,terminals
22,0.95,-0.09025,"[22, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[22, 22, 17]",False
22,0.95,-0.095,"[22, 22, -1]","[22, -1, -1]",0.0,0.9025,"[22, 22, 17]",False
17,0.95,-0.1,"[22, 22, 17]","[22, 22, -1]",-0.1,0.95,"[22, 22, 17]",True
5,0.95,-0.09025,"[5, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[5, 0, 17]",False
0,0.95,-0.095,"[5, 0, -1]","[5, -1, -1]",0.0,0.9025,"[5, 0, 17]",False
17,0.95,-0.1,"[5, 0, 17]","[5, 0, -1]",-0.1,0.95,"[5, 0, 17]",True
8,0.95,-0.09025,"[8, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[8, 2, 7]",False
2,0.95,-0.095,"[8, 2, -1]","[8, -1, -1]",0.0,0.9025,"[8, 2, 7]",False
7,0.95,-0.1,"[8, 2, 7]","[8, 2, -1]",-0.1,0.95,"[8, 2, 7]",True
0,0.95,-0.09025,"[0, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[0, 23, 4]",False
23,0.95,-0.095,"[0, 23, -1]","[0, -1, -1]",0.0,0.9025,"[0, 23, 4]",False
4,0.95,-0.1,"[0, 23, 4]","[0, 23, -1]",-0.1,0.95,"[0, 23, 4]",True
14,0.95,0.095,"[14, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[14, 8, 12]",False
8,0.95,0.1,"[14, 8, -1]","[14, -1, -1]",0.1,0.9025,"[14, 8, 12]",False
12,0.95,0.0,"[14, 8, 12]","[14, 8, -1]",0.0,0.95,"[14, 8, 12]",True
11,0.95,-0.09025,"[11, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[11, 0, 24]",False
0,0.95,-0.095,"[11, 0, -1]","[11, -1, -1]",0.0,0.9025,"[11, 0, 24]",False
24,0.95,-0.1,"[11, 0, 24]","[11, 0, -1]",-0.1,0.95,"[11, 0, 24]",True
17,0.95,-0.09025,"[17, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[17, 20, 20]",False
20,0.95,-0.095,"[17, 20, -1]","[17, -1, -1]",0.0,0.9025,"[17, 20, 20]",False
20,0.95,-0.1,"[17, 20, 20]","[17, 20, -1]",-0.1,0.95,"[17, 20, 20]",True
12,0.95,-0.09025,"[12, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[12, 20, 1]",False
20,0.95,-0.095,"[12, 20, -1]","[12, -1, -1]",0.0,0.9025,"[12, 20, 1]",False
1,0.95,-0.1,"[12, 20, 1]","[12, 20, -1]",-0.1,0.95,"[12, 20, 1]",True
3,0.95,-0.09025,"[3, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[3, 0, 10]",False
0,0.95,-0.095,"[3, 0, -1]","[3, -1, -1]",0.0,0.9025,"[3, 0, 10]",False
10,0.95,-0.1,"[3, 0, 10]","[3, 0, -1]",-0.1,0.95,"[3, 0, 10]",True
7,0.95,-0.09025,"[7, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[7, 4, 21]",False
4,0.95,-0.095,"[7, 4, -1]","[7, -1, -1]",0.0,0.9025,"[7, 4, 21]",False
21,0.95,-0.1,"[7, 4, 21]","[7, 4, -1]",-0.1,0.95,"[7, 4, 21]",True
7,0.95,-0.09025,"[7, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[7, 4, 13]",False
4,0.95,-0.095,"[7, 4, -1]","[7, -1, -1]",0.0,0.9025,"[7, 4, 13]",False
13,0.95,-0.1,"[7, 4, 13]","[7, 4, -1]",-0.1,0.95,"[7, 4, 13]",True
2,0.95,-0.09025,"[2, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[2, 17, 0]",False
17,0.95,-0.095,"[2, 17, -1]","[2, -1, -1]",0.0,0.9025,"[2, 17, 0]",False
0,0.95,-0.1,"[2, 17, 0]","[2, 17, -1]",-0.1,0.95,"[2, 17, 0]",True
25,0.95,-0.09025,"[25, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[25, 14, 4]",False
14,0.95,-0.095,"[25, 14, -1]","[25, -1, -1]",0.0,0.9025,"[25, 14, 4]",False
4,0.95,-0.1,"[25, 14, 4]","[25, 14, -1]",-0.1,0.95,"[25, 14, 4]",True
0,0.95,-0.09025,"[0, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[0, 19, 14]",False
19,0.95,-0.095,"[0, 19, -1]","[0, -1, -1]",0.0,0.9025,"[0, 19, 14]",False
14,0.95,-0.1,"[0, 19, 14]","[0, 19, -1]",-0.1,0.95,"[0, 19, 14]",True
15,0.95,-0.09025,"[15, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[15, 14, 1]",False
14,0.95,-0.095,"[15, 14, -1]","[15, -1, -1]",0.0,0.9025,"[15, 14, 1]",False
1,0.95,-0.1,"[15, 14, 1]","[15, 14, -1]",-0.1,0.95,"[15, 14, 1]",True
7,0.95,-0.09025,"[7, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[7, 0, 22]",False
0,0.95,-0.095,"[7, 0, -1]","[7, -1, -1]",0.0,0.9025,"[7, 0, 22]",False
22,0.95,-0.1,"[7, 0, 22]","[7, 0, -1]",-0.1,0.95,"[7, 0, 22]",True
13,0.95,-0.09025,"[13, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[13, 4, 1]",False
4,0.95,-0.095,"[13, 4, -1]","[13, -1, -1]",0.0,0.9025,"[13, 4, 1]",False
1,0.95,-0.1,"[13, 4, 1]","[13, 4, -1]",-0.1,0.95,"[13, 4, 1]",True
5,0.95,-0.09025,"[5, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[5, 4, 19]",False
4,0.95,-0.095,"[5, 4, -1]","[5, -1, -1]",0.0,0.9025,"[5, 4, 19]",False
19,0.95,-0.1,"[5, 4, 19]","[5, 4, -1]",-0.1,0.95,"[5, 4, 19]",True
13,0.95,-0.09025,"[13, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[13, 20, 8]",False
20,0.95,-0.095,"[13, 20, -1]","[13, -1, -1]",0.0,0.9025,"[13, 20, 8]",False
8,0.95,-0.1,"[13, 20, 8]","[13, 20, -1]",-0.1,0.95,"[13, 20, 8]",True
1,0.95,-0.09025,"[1, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[1, 14, 19]",False
14,0.95,-0.095,"[1, 14, -1]","[1, -1, -1]",0.0,0.9025,"[1, 14, 19]",False
19,0.95,-0.1,"[1, 14, 19]","[1, 14, -1]",-0.1,0.95,"[1, 14, 19]",True
12,0.95,-0.09025,"[12, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[12, 14, 13]",False
14,0.95,-0.095,"[12, 14, -1]","[12, -1, -1]",0.0,0.9025,"[12, 14, 13]",False
13,0.95,-0.1,"[12, 14, 13]","[12, 14, -1]",-0.1,0.95,"[12, 14, 13]",True
11,0.95,-0.09025,"[11, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[11, 7, 0]",False
7,0.95,-0.095,"[11, 7, -1]","[11, -1, -1]",0.0,0.9025,"[11, 7, 0]",False
0,0.95,-0.1,"[11, 7, 0]","[11, 7, -1]",-0.1,0.95,"[11, 7, 0]",True
1,0.95,-0.09025,"[1, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[1, 0, 15]",False
0,0.95,-0.095,"[1, 0, -1]","[1, -1, -1]",0.0,0.9025,"[1, 0, 15]",False
15,0.95,-0.1,"[1, 0, 15]","[1, 0, -1]",-0.1,0.95,"[1, 0, 15]",True
6,0.95,-0.09025,"[6, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[6, 14, 23]",False
14,0.95,-0.095,"[6, 14, -1]","[6, -1, -1]",0.0,0.9025,"[6, 14, 23]",False
23,0.95,-0.1,"[6, 14, 23]","[6, 14, -1]",-0.1,0.95,"[6, 14, 23]",True
4,0.95,-0.09025,"[4, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[4, 11, 15]",False
11,0.95,-0.095,"[4, 11, -1]","[4, -1, -1]",0.0,0.9025,"[4, 11, 15]",False
15,0.95,-0.1,"[4, 11, 15]","[4, 11, -1]",-0.1,0.95,"[4, 11, 15]",True
4,0.95,-0.09025,"[4, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[4, 0, 8]",False
0,0.95,-0.095,"[4, 0, -1]","[4, -1, -1]",0.0,0.9025,"[4, 0, 8]",False
8,0.95,-0.1,"[4, 0, 8]","[4, 0, -1]",-0.1,0.95,"[4, 0, 8]",True
2,0.95,-0.09025,"[2, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[2, 20, 17]",False
20,0.95,-0.095,"[2, 20, -1]","[2, -1, -1]",0.0,0.9025,"[2, 20, 17]",False
17,0.95,-0.1,"[2, 20, 17]","[2, 20, -1]",-0.1,0.95,"[2, 20, 17]",True
13,0.95,-0.09025,"[13, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[13, 20, 17]",False
20,0.95,-0.095,"[13, 20, -1]","[13, -1, -1]",0.0,0.9025,"[13, 20, 17]",False
17,0.95,-0.1,"[13, 20, 17]","[13, 20, -1]",-0.1,0.95,"[13, 20, 17]",True
3,0.95,-0.09025,"[3, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[3, 20, 12]",False
20,0.95,-0.095,"[3, 20, -1]","[3, -1, -1]",0.0,0.9025,"[3, 20, 12]",False
12,0.95,-0.1,"[3, 20, 12]","[3, 20, -1]",-0.1,0.95,"[3, 20, 12]",True
18,0.95,-0.09025,"[18, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[18, 20, 5]",False
20,0.95,-0.095,"[18, 20, -1]","[18, -1, -1]",0.0,0.9025,"[18, 20, 5]",False
5,0.95,-0.1,"[18, 20, 5]","[18, 20, -1]",-0.1,0.95,"[18, 20, 5]",True
1,0.95,-0.09025,"[1, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[1, 4, 11]",False
4,0.95,-0.095,"[1, 4, -1]","[1, -1, -1]",0.0,0.9025,"[1, 4, 11]",False
11,0.95,-0.1,"[1, 4, 11]","[1, 4, -1]",-0.1,0.95,"[1, 4, 11]",True
18,0.95,-0.09025,"[18, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[18, 20, 0]",False
20,0.95,-0.095,"[18, 20, -1]","[18, -1, -1]",0.0,0.9025,"[18, 20, 0]",False
0,0.95,-0.1,"[18, 20, 0]","[18, 20, -1]",-0.1,0.95,"[18, 20, 0]",True
11,0.95,0.9974999999999999,"[11, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[11, 4, 4]",False
4,0.95,1.05,"[11, 4, -1]","[11, -1, -1]",0.1,0.9025,"[11, 4, 4]",False
4,0.95,1.0,"[11, 4, 4]","[11, 4, -1]",1.0,0.95,"[11, 4, 4]",True
1,0.95,-0.09025,"[1, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[1, 4, 24]",False
4,0.95,-0.095,"[1, 4, -1]","[1, -1, -1]",0.0,0.9025,"[1, 4, 24]",False
24,0.95,-0.1,"[1, 4, 24]","[1, 4, -1]",-0.1,0.95,"[1, 4, 24]",True
6,0.95,-0.09025,"[6, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[6, 14, 19]",False
14,0.95,-0.095,"[6, 14, -1]","[6, -1, -1]",0.0,0.9025,"[6, 14, 19]",False
19,0.95,-0.1,"[6, 14, 19]","[6, 14, -1]",-0.1,0.95,"[6, 14, 19]",True
7,0.95,0.095,"[7, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[7, 20, 24]",False
20,0.95,0.1,"[7, 20, -1]","[7, -1, -1]",0.1,0.9025,"[7, 20, 24]",False
24,0.95,0.0,"[7, 20, 24]","[7, 20, -1]",0.0,0.95,"[7, 20, 24]",True
4,0.95,-0.09025,"[4, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[4, 11, 5]",False
11,0.95,-0.095,"[4, 11, -1]","[4, -1, -1]",0.0,0.9025,"[4, 11, 5]",False
5,0.95,-0.1,"[4, 11, 5]","[4, 11, -1]",-0.1,0.95,"[4, 11, 5]",True
5,0.95,-0.09025,"[5, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[5, 0, 15]",False
0,0.95,-0.095,"[5, 0, -1]","[5, -1, -1]",0.0,0.9025,"[5, 0, 15]",False
15,0.95,-0.1,"[5, 0, 15]","[5, 0, -1]",-0.1,0.95,"[5, 0, 15]",True
11,0.95,-0.09025,"[11, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[11, 0, 8]",False
0,0.95,-0.095,"[11, 0, -1]","[11, -1, -1]",0.0,0.9025,"[11, 0, 8]",False
8,0.95,-0.1,"[11, 0, 8]","[11, 0, -1]",-0.1,0.95,"[11, 0, 8]",True
20,0.95,-0.09025,"[20, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[20, 8, 2]",False
8,0.95,-0.095,"[20, 8, -1]","[20, -1, -1]",0.0,0.9025,"[20, 8, 2]",False
2,0.95,-0.1,"[20, 8, 2]","[20, 8, -1]",-0.1,0.95,"[20, 8, 2]",True
10,0.95,-0.09025,"[10, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[10, 24, 4]",False
24,0.95,-0.095,"[10, 24, -1]","[10, -1, -1]",0.0,0.9025,"[10, 24, 4]",False
4,0.95,-0.1,"[10, 24, 4]","[10, 24, -1]",-0.1,0.95,"[10, 24, 4]",True
14,0.95,-0.09025,"[14, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[14, 17, 4]",False
17,0.95,-0.095,"[14, 17, -1]","[14, -1, -1]",0.0,0.9025,"[14, 17, 4]",False
4,0.95,-0.1,"[14, 17, 4]","[14, 17, -1]",-0.1,0.95,"[14, 17, 4]",True
15,0.95,-0.09025,"[15, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[15, 4, 15]",False
4,0.95,-0.095,"[15, 4, -1]","[15, -1, -1]",0.0,0.9025,"[15, 4, 15]",False
15,0.95,-0.1,"[15, 4, 15]","[15, 4, -1]",-0.1,0.95,"[15, 4, 15]",True
13,0.95,-0.09025,"[13, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[13, 12, 0]",False
12,0.95,-0.095,"[13, 12, -1]","[13, -1, -1]",0.0,0.9025,"[13, 12, 0]",False
0,0.95,-0.1,"[13, 12, 0]","[13, 12, -1]",-0.1,0.95,"[13, 12, 0]",True
18,0.95,-0.09025,"[18, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[18, 6, 4]",False
6,0.95,-0.095,"[18, 6, -1]","[18, -1, -1]",0.0,0.9025,"[18, 6, 4]",False
4,0.95,-0.1,"[18, 6, 4]","[18, 6, -1]",-0.1,0.95,"[18, 6, 4]",True
0,0.95,-0.09025,"[0, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[0, 15, 15]",False
15,0.95,-0.095,"[0, 15, -1]","[0, -1, -1]",0.0,0.9025,"[0, 15, 15]",False
15,0.95,-0.1,"[0, 15, 15]","[0, 15, -1]",-0.1,0.95,"[0, 15, 15]",True
0,0.95,-0.09025,"[0, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[0, 13, 2]",False
13,0.95,-0.095,"[0, 13, -1]","[0, -1, -1]",0.0,0.9025,"[0, 13, 2]",False
2,0.95,-0.1,"[0, 13, 2]","[0, 13, -1]",-0.1,0.95,"[0, 13, 2]",True
13,0.95,-0.09025,"[13, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[13, 1, 11]",False
1,0.95,-0.095,"[13, 1, -1]","[13, -1, -1]",0.0,0.9025,"[13, 1, 11]",False
11,0.95,-0.1,"[13, 1, 11]","[13, 1, -1]",-0.1,0.95,"[13, 1, 11]",True
7,0.95,0.095,"[7, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[7, 20, 3]",False
20,0.95,0.1,"[7, 20, -1]","[7, -1, -1]",0.1,0.9025,"[7, 20, 3]",False
3,0.95,0.0,"[7, 20, 3]","[7, 20, -1]",0.0,0.95,"[7, 20, 3]",True
6,0.95,-0.09025,"[6, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[6, 0, 24]",False
0,0.95,-0.095,"[6, 0, -1]","[6, -1, -1]",0.0,0.9025,"[6, 0, 24]",False
24,0.95,-0.1,"[6, 0, 24]","[6, 0, -1]",-0.1,0.95,"[6, 0, 24]",True
19,0.95,-0.09025,"[19, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[19, 2, 11]",False
2,0.95,-0.095,"[19, 2, -1]","[19, -1, -1]",0.0,0.9025,"[19, 2, 11]",False
11,0.95,-0.1,"[19, 2, 11]","[19, 2, -1]",-0.1,0.95,"[19, 2, 11]",True
18,0.95,-0.09025,"[18, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[18, 14, 14]",False
14,0.95,-0.095,"[18, 14, -1]","[18, -1, -1]",0.0,0.9025,"[18, 14, 14]",False
14,0.95,-0.1,"[18, 14, 14]","[18, 14, -1]",-0.1,0.95,"[18, 14, 14]",True
4,0.95,-0.09025,"[4, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[4, 0, 23]",False
0,0.95,-0.095,"[4, 0, -1]","[4, -1, -1]",0.0,0.9025,"[4, 0, 23]",False
23,0.95,-0.1,"[4, 0, 23]","[4, 0, -1]",-0.1,0.95,"[4, 0, 23]",True
20,0.95,-0.09025,"[20, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[20, 17, 8]",False
17,0.95,-0.095,"[20, 17, -1]","[20, -1, -1]",0.0,0.9025,"[20, 17, 8]",False
8,0.95,-0.1,"[20, 17, 8]","[20, 17, -1]",-0.1,0.95,"[20, 17, 8]",True
6,0.95,-0.09025,"[6, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[6, 14, 23]",False
14,0.95,-0.095,"[6, 14, -1]","[6, -1, -1]",0.0,0.9025,"[6, 14, 23]",False
23,0.95,-0.1,"[6, 14, 23]","[6, 14, -1]",-0.1,0.95,"[6, 14, 23]",True
19,0.95,-0.09025,"[19, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[19, 17, 11]",False
17,0.95,-0.095,"[19, 17, -1]","[19, -1, -1]",0.0,0.9025,"[19, 17, 11]",False
11,0.95,-0.1,"[19, 17, 11]","[19, 17, -1]",-0.1,0.95,"[19, 17, 11]",True
1,0.95,-0.09025,"[1, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[1, 0, 23]",False
0,0.95,-0.095,"[1, 0, -1]","[1, -1, -1]",0.0,0.9025,"[1, 0, 23]",False
23,0.95,-0.1,"[1, 0, 23]","[1, 0, -1]",-0.1,0.95,"[1, 0, 23]",True
13,0.95,-0.09025,"[13, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[13, 0, 3]",False
0,0.95,-0.095,"[13, 0, -1]","[13, -1, -1]",0.0,0.9025,"[13, 0, 3]",False
3,0.95,-0.1,"[13, 0, 3]","[13, 0, -1]",-0.1,0.95,"[13, 0, 3]",True
14,0.95,-0.09025,"[14, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[14, 0, 4]",False
0,0.95,-0.095,"[14, 0, -1]","[14, -1, -1]",0.0,0.9025,"[14, 0, 4]",False
4,0.95,-0.1,"[14, 0, 4]","[14, 0, -1]",-0.1,0.95,"[14, 0, 4]",True
11,0.95,-0.09025,"[11, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[11, 14, 17]",False
14,0.95,-0.095,"[11, 14, -1]","[11, -1, -1]",0.0,0.9025,"[11, 14, 17]",False
17,0.95,-0.1,"[11, 14, 17]","[11, 14, -1]",-0.1,0.95,"[11, 14, 17]",True
4,0.95,-0.09025,"[4, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[4, 15, 3]",False
15,0.95,-0.095,"[4, 15, -1]","[4, -1, -1]",0.0,0.9025,"[4, 15, 3]",False
3,0.95,-0.1,"[4, 15, 3]","[4, 15, -1]",-0.1,0.95,"[4, 15, 3]",True
6,0.95,-0.09025,"[6, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[6, 14, 16]",False
14,0.95,-0.095,"[6, 14, -1]","[6, -1, -1]",0.0,0.9025,"[6, 14, 16]",False
16,0.95,-0.1,"[6, 14, 16]","[6, 14, -1]",-0.1,0.95,"[6, 14, 16]",True
18,0.95,-0.09025,"[18, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[18, 14, 14]",False
14,0.95,-0.095,"[18, 14, -1]","[18, -1, -1]",0.0,0.9025,"[18, 14, 14]",False
14,0.95,-0.1,"[18, 14, 14]","[18, 14, -1]",-0.1,0.95,"[18, 14, 14]",True
1,0.95,-0.09025,"[1, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[1, 8, 4]",False
8,0.95,-0.095,"[1, 8, -1]","[1, -1, -1]",0.0,0.9025,"[1, 8, 4]",False
4,0.95,-0.1,"[1, 8, 4]","[1, 8, -1]",-0.1,0.95,"[1, 8, 4]",True
4,0.95,-0.09025,"[4, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[4, 24, 8]",False
24,0.95,-0.095,"[4, 24, -1]","[4, -1, -1]",0.0,0.9025,"[4, 24, 8]",False
8,0.95,-0.1,"[4, 24, 8]","[4, 24, -1]",-0.1,0.95,"[4, 24, 8]",True
19,0.95,-0.09025,"[19, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[19, 14, 21]",False
14,0.95,-0.095,"[19, 14, -1]","[19, -1, -1]",0.0,0.9025,"[19, 14, 21]",False
21,0.95,-0.1,"[19, 14, 21]","[19, 14, -1]",-0.1,0.95,"[19, 14, 21]",True
11,0.95,-0.09025,"[11, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[11, 8, 11]",False
8,0.95,-0.095,"[11, 8, -1]","[11, -1, -1]",0.0,0.9025,"[11, 8, 11]",False
11,0.95,-0.1,"[11, 8, 11]","[11, 8, -1]",-0.1,0.95,"[11, 8, 11]",True
3,0.95,-0.09025,"[3, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[3, 14, 7]",False
14,0.95,-0.095,"[3, 14, -1]","[3, -1, -1]",0.0,0.9025,"[3, 14, 7]",False
7,0.95,-0.1,"[3, 14, 7]","[3, 14, -1]",-0.1,0.95,"[3, 14, 7]",True
0,0.95,-0.09025,"[0, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[0, 17, 2]",False
17,0.95,-0.095,"[0, 17, -1]","[0, -1, -1]",0.0,0.9025,"[0, 17, 2]",False
2,0.95,-0.1,"[0, 17, 2]","[0, 17, -1]",-0.1,0.95,"[0, 17, 2]",True
22,0.95,-0.09025,"[22, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[22, 22, 20]",False
22,0.95,-0.095,"[22, 22, -1]","[22, -1, -1]",0.0,0.9025,"[22, 22, 20]",False
20,0.95,-0.1,"[22, 22, 20]","[22, 22, -1]",-0.1,0.95,"[22, 22, 20]",True
7,0.95,-0.09025,"[7, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[7, 0, 24]",False
0,0.95,-0.095,"[7, 0, -1]","[7, -1, -1]",0.0,0.9025,"[7, 0, 24]",False
24,0.95,-0.1,"[7, 0, 24]","[7, 0, -1]",-0.1,0.95,"[7, 0, 24]",True
8,0.95,-0.09025,"[8, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[8, 21, 20]",False
21,0.95,-0.095,"[8, 21, -1]","[8, -1, -1]",0.0,0.9025,"[8, 21, 20]",False
